Age,Education,Math_Skill,Logic_Skill,Experience,Interest,Problem_Solving,Difficulty,Recommended_Language
19,Beginner,1,9,0,App,92,Hard,Python
24,Beginner,1,10,3,Competitive,87,Hard,Python
25,Intermediate,9,6,3,AI,82,Hard,Python
25,Intermediate,3,1,0,AI,61,Medium,Python
19,Advanced,2,7,2,App,40,Hard,Java
20,Intermediate,3,8,3,Competitive,88,Hard,Python
22,Advanced,4,1,2,Web,56,Easy,JavaScript
19,Beginner,8,3,2,Web,40,Hard,JavaScript
18,Advanced,3,2,2,Competitive,67,Hard,Python
18,Beginner,5,8,0,AI,93,Medium,Python
18,Intermediate,4,10,0,Web,40,Easy,JavaScript
24,Beginner,3,8,2,App,57,Hard,Java
18,Advanced,7,3,2,Web,71,Easy,JavaScript
23,Intermediate,8,8,0,AI,76,Hard,Python
20,Intermediate,1,6,2,AI,71,Hard,Python
22,Intermediate,10,10,1,Competitive,91,Easy,Python
19,Advanced,9,3,2,Competitive,50,Medium,C++
25,Intermediate,4,10,3,App,88,Medium,Python
19,Advanced,6,3,2,Competitive,83,Easy,Python
18,Intermediate,9,7,1,AI,57,Medium,Python
22,Beginner,6,3,1,App,75,Hard,Python
20,Advanced,5,2,1,Web,86,Easy,Python
19,Intermediate,2,1,1,App,47,Hard,Java
21,Intermediate,10,5,0,AI,94,Medium,Python
25,Beginner,9,3,3,AI,97,Easy,Python
23,Beginner,5,10,1,App,51,Easy,Java
20,Beginner,8,8,1,Web,45,Medium,JavaScript
25,Advanced,7,6,0,Web,94,Hard,Python
23,Intermediate,8,5,3,Competitive,91,Easy,Python
18,Advanced,9,9,3,AI,42,Hard,Python
20,Beginner,1,7,1,Web,77,Medium,Python
24,Intermediate,10,9,2,Web,92,Easy,Python
25,Beginner,10,8,3,Competitive,92,Hard,Python
20,Beginner,5,4,0,Competitive,65,Hard,C++
20,Beginner,9,4,1,AI,88,Easy,Python
22,Advanced,5,7,3,AI,88,Easy,Python
23,Beginner,3,6,1,App,100,Easy,Python
19,Intermediate,5,7,0,Competitive,93,Hard,Python
19,Advanced,5,4,3,App,63,Medium,Java
19,Beginner,7,9,3,Competitive,48,Easy,C++
23,Intermediate,5,8,3,Competitive,92,Hard,Python
21,Intermediate,2,5,2,AI,79,Easy,Python
20,Intermediate,9,5,3,AI,56,Hard,Python
23,Intermediate,7,3,0,App,47,Easy,Java
20,Intermediate,6,5,2,Competitive,92,Easy,Python
21,Intermediate,8,9,1,Competitive,83,Easy,Python
20,Intermediate,10,5,3,App,54,Medium,Java
23,Advanced,2,4,1,Web,66,Hard,Python
19,Intermediate,4,10,0,AI,83,Easy,Python
22,Beginner,5,9,1,Web,70,Medium,Python
25,Beginner,7,8,3,App,90,Easy,Python
24,Beginner,2,10,0,App,90,Easy,Python
18,Beginner,5,9,2,App,56,Hard,Java
22,Advanced,9,2,1,App,60,Hard,Java
20,Advanced,6,9,0,AI,95,Easy,Python
21,Advanced,2,8,1,Web,54,Hard,JavaScript
24,Beginner,4,9,1,App,82,Easy,Python
